2025-12-08 12:52:15.925 INFO  [26072] [ProcessCameraCommand@389] g_isStore = 1
2025-12-08 12:52:15.925 INFO  [26072] [CaptureThread@553] ReleaseMutex(mutex_getNvVfxLib_vcam)
2025-12-08 12:52:15.952 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 12:52:15.952 INFO  [26072] [ProcessCameraCommand@154] command: 11
2025-12-08 12:52:15.952 INFO  [26072] [ProcessCameraCommand@283] camCmdSetResolution: width = 1920, height = 1080, fps = 30
2025-12-08 12:52:15.984 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 12:52:15.984 INFO  [26072] [ProcessCameraCommand@154] command: 2
2025-12-08 12:52:15.984 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 12:52:15.984 INFO  [26072] [ProcessCameraCommand@154] command: 13
2025-12-08 14:19:51.782 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 14:19:51.783 INFO  [26072] [ProcessCameraCommand@154] command: 14
2025-12-08 14:19:51.783 INFO  [26072] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-08 14:20:07.300 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 14:20:07.300 INFO  [26072] [ProcessCameraCommand@154] command: 14
2025-12-08 14:46:43.331 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 14:46:43.331 INFO  [26072] [ProcessCameraCommand@154] command: 14
2025-12-08 14:46:43.331 INFO  [26072] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-08 14:47:14.939 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 14:47:14.939 INFO  [26072] [ProcessCameraCommand@154] command: 14
2025-12-08 14:47:14.939 INFO  [26072] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-08 14:47:28.720 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 14:47:28.720 INFO  [26072] [ProcessCameraCommand@154] command: 14
2025-12-08 14:47:28.720 INFO  [26072] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-08 14:52:45.005 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 14:52:45.005 INFO  [26072] [ProcessCameraCommand@154] command: 14
2025-12-08 14:52:45.005 INFO  [26072] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-08 14:53:00.395 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 14:53:00.395 INFO  [26072] [ProcessCameraCommand@154] command: 14
2025-12-08 15:07:48.682 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 15:07:48.682 INFO  [26072] [ProcessCameraCommand@154] command: 14
2025-12-08 15:07:48.682 INFO  [26072] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-09 20:33:10.351 INFO  [17828] [InitLog@123] -------------------------------- create a new logger!
2025-12-09 20:33:10.352 INFO  [17828] [InitLog@124] processName = OmenCommandCenterBackground
2025-12-09 20:33:10.352 INFO  [17828] [InitLog@139] -------------------------------- InitLog(), version = 1101.2511.2.0
2025-12-09 20:33:10.352 INFO  [17828] [InitLog@140] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2511.2.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe
2025-12-09 20:33:10.352 INFO  [17828] [CreatePipeServer@114] enter function: CreatePipeServer()
2025-12-09 20:33:10.352 INFO  [17828] [StartMainThread@575] enter function: StartMainThread()
2025-12-09 20:33:10.352 INFO  [24788] [PipeServerThread@104] enter function: PipeServerThread()
2025-12-09 20:33:10.353 INFO  [11752] [CaptureThread@462] enter function: CaptureThread()
2025-12-09 20:33:10.353 INFO  [11752] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2025-12-09 20:33:10.353 INFO  [24788] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2025-12-09 20:33:10.354 INFO  [24788] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2025-12-09 20:33:10.354 INFO  [24788] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte6
2025-12-09 20:33:10.354 INFO  [24788] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2025-12-09 20:33:10.354 INFO  [24788] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2025-12-09 20:33:10.354 INFO  [11752] [CaptureThread@476] CreateMutex(mutex_getNvVfxLib_vcam)
2025-12-09 20:33:10.354 INFO  [11752] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-09 20:33:10.355 INFO  [11752] [ProcessCameraCommand@154] command: 16
2025-12-09 20:33:10.355 INFO  [11752] [ProcessCameraCommand@389] g_isStore = 1
